url|name|designer|rating|rating_count|reviews_count|accords|longevity_votes|sillage_votes|gender_votes|price_value_votes|seasons_votes
https://www.fragrantica.com/perfume/Creed/Aventus-9828.html|Aventus Creed|Creed|4.32|27,525||fruity, sweet, woody, leather, citrus, smoky, musky, fresh, tropical, mossy|||||Captured via DOM backup
https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html|Sauvage Dior|Dior|3.85|33,225||amber, citrus, musky, woody|||||Captured via DOM backup
