url|bottle_image_url|name_raw|designer_raw|global_rating|global_rating_count|accords_query_string|perfumers_raw|top_notes_raw|heart_notes_raw|base_notes_raw|vibe_reactions_raw_dist|seasons_raw_dist|time_of_day_raw_dist|longevity_raw_dist|sillage_raw_dist|price_value_raw_dist|gender_voted_raw_dist|reviews_text_corpus
https://www.fragrantica.es/perfume/MAISON-ASRAR/Coffee-Blend-101563.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.101563.jpg|Coffee Blend MAISON ASRAR para Hombres y Mujeres|MAISON ASRAR|4.07|252|||café, almendras dulces, leche|regaliz, ámbar, flores blancas|vainilla, caramelo, avellana, almizcle||||"{""escasa"": ""9"", ""d\u00e9bil"": ""10"", ""moderada"": ""64"", ""duradera"": ""41"", ""muy duradera"": ""12"", ""suave"": ""13"", ""pesada"": ""32"", ""enorme"": ""9""}"|"{""escasa"": ""9"", ""d\u00e9bil"": ""10"", ""moderada"": ""64"", ""duradera"": ""41"", ""muy duradera"": ""12"", ""suave"": ""13"", ""pesada"": ""32"", ""enorme"": ""9""}"|"{""femenino"": ""22"", ""unisex femenino"": ""43"", ""unisex"": ""64"", ""unisex masculino"": ""0"", ""masculino"": ""0"", ""extremadamente costoso"": ""4"", ""ligeramente costoso"": ""3"", ""precio moderado"": ""23"", ""buen precio"": ""43"", ""excelente precio"": ""47""}"|"{""femenino"": ""22"", ""unisex femenino"": ""43"", ""unisex"": ""64"", ""unisex masculino"": ""0"", ""masculino"": ""0"", ""extremadamente costoso"": ""4"", ""ligeramente costoso"": ""3"", ""precio moderado"": ""23"", ""buen precio"": ""43"", ""excelente precio"": ""47""}"|
https://www.fragrantica.es/perfume/Marc-Jacobs/Tropical-Splash-Hibiscus-14613.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.14613.jpg|Tropical Splash Hibiscus Marc Jacobs para Hombres y Mujeres|Marc Jacobs|3.99|70|||peonía, frambuesa, mandarina|hibisco (flor de Jamaica, cayena), flor de tiaré, fresia|almizcle, notas amaderadas, vetiver||||"{""escasa"": ""5"", ""d\u00e9bil"": ""14"", ""moderada"": ""11"", ""duradera"": ""2"", ""muy duradera"": ""3"", ""suave"": ""11"", ""pesada"": ""5"", ""enorme"": ""4""}"|"{""escasa"": ""5"", ""d\u00e9bil"": ""14"", ""moderada"": ""11"", ""duradera"": ""2"", ""muy duradera"": ""3"", ""suave"": ""11"", ""pesada"": ""5"", ""enorme"": ""4""}"|"{""femenino"": ""5"", ""unisex femenino"": ""1"", ""unisex"": ""1"", ""unisex masculino"": ""0"", ""masculino"": ""0"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""1"", ""precio moderado"": ""0"", ""buen precio"": ""2"", ""excelente precio"": ""0""}"|"{""femenino"": ""5"", ""unisex femenino"": ""1"", ""unisex"": ""1"", ""unisex masculino"": ""0"", ""masculino"": ""0"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""1"", ""precio moderado"": ""0"", ""buen precio"": ""2"", ""excelente precio"": ""0""}"|
https://www.fragrantica.es/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-Musc-Nude-88936.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.88936.jpg|Narciso Rodriguez For Her Musc Nude Narciso Rodriguez para Mujeres|Narciso Rodriguez|3.79|1,902|||flores blancas, jazmín, pimienta rosa|almizcle, rosa de Damasco, flor de azahar del naranjo|haba tonka, pachulí, cedro||||"{""escasa"": ""17"", ""d\u00e9bil"": ""69"", ""moderada"": ""435"", ""duradera"": ""219"", ""muy duradera"": ""44"", ""suave"": ""149"", ""pesada"": ""115"", ""enorme"": ""18""}"|"{""escasa"": ""17"", ""d\u00e9bil"": ""69"", ""moderada"": ""435"", ""duradera"": ""219"", ""muy duradera"": ""44"", ""suave"": ""149"", ""pesada"": ""115"", ""enorme"": ""18""}"|"{""femenino"": ""599"", ""unisex femenino"": ""100"", ""unisex"": ""27"", ""unisex masculino"": ""7"", ""masculino"": ""3"", ""extremadamente costoso"": ""24"", ""ligeramente costoso"": ""112"", ""precio moderado"": ""380"", ""buen precio"": ""101"", ""excelente precio"": ""15""}"|"{""femenino"": ""599"", ""unisex femenino"": ""100"", ""unisex"": ""27"", ""unisex masculino"": ""7"", ""masculino"": ""3"", ""extremadamente costoso"": ""24"", ""ligeramente costoso"": ""112"", ""precio moderado"": ""380"", ""buen precio"": ""101"", ""excelente precio"": ""15""}"|"Ya lo he probado varias veces para darle la oportunidad, pero definitivamente su olor es muy punzante, no es agradable, aunque en sus notas declara cedro, a mi me parece más bien seca con olor a sándalo invasivo. [REVIEW_BREAK] Pasan cosas raras cuando compras a ciegas, es un reto, un riesgo que solo las valientes (o las locas) cometen... pura adrenalina. La verdad soy fan de varios perfumes de Narciso, me parecen en su mayoría perfumes super elegantes y sofisticados, mi favorito el cristal y luego el for her edp. Aparte de sus frascos taaaaaan preciosos. Musc nude, fue como dije compra a ciegas, basándome en las bellas palabras de una YouTuber que en general tiene más o menos los mismos gustos que yo, buscando reseñas y demás, y así, emprendí esta aventura. Quiero decir que la botella, la imagen, etc. Es preciosa, no podía esperar otra cosa. Ahora el aroma... tenía el ansia viva, necesitaba saber de qué iba el musc desnudo: al primer olfato me quedé en shock, la verdad no le encontré lo Narciso Rodriguez por ningún lado, no encontré almizcle tampoco, ni sucio ni limpio ni nada, lo que encontré fue un olor espaciado qué me recordó a la Canela. Ya en un estado parecido al pánico, lo rocié en mi muñeca y en mi cuello, la verdad más por desesperación que por emoción, y si, cálido, espaciado, algo atalcado... no sentí el ADN de mi amado Narciso, no senti rosas, ni flores blancas ni almizcle, solo pimienta y canela, así salí a la calle. Pensando que debo detenerme en compras a ciegas porque este maldito vicio me llevará a la ruina, y entonces... apareció. Ahí estaba: sí cálido como un abracito, pero limpio, sofisticado, en ráfagas a mi alrededor, un aura preciosa. Por un momento pensé ¿en serio soy yo? Y sí, era yo y Narciso Rodriguez Musc Nude, es femenino, limpio y adorable. No es avasallador y dudo que alguien me lo elogie porque es más bien una fragancia cercana a la piel, un metro diría yo. Pero, tiene el punch suficiente para que yo lo percibiera claramente y me hiciera sentir super bien, cómoda y bonita, la neta si recomiendo encarecidamente probar antes y ver si esta version del almizcle NR es para ti. Para mi, una vez más la suerte me sonrió. FiuuuuMuestra más [REVIEW_BREAK] Hola?? soy a la única a la que este perfume le huele como al agua de las aceitunas??? UFF... [REVIEW_BREAK] Me lo acabo de probar para dar una vuelta aquí en la costa mediterránea.  Es otro perfume de rosas de Narciso, pero más cálido y especiadito. Las especias hacen que la rosa se sienta más cálida y presente y se caramelice, como si fuera un bombón de regaliz. Al cabo de un rato salen a lucirse las especias y huele a perfume de hombre. Me recuerda a Fuel For Life de Diesel. El olor es bastante vintage, es ideal para una señora bien entrada en años y probablemente con una personalidad más vivaracha y activa, con una tez más oscura para que las especias hagan su combustión correctamente. Yo por mi parte no me pondría esto, no me gustan los perfumes de rosas y este en concreto es demasiado intenso, ya que tengo 28 años y no me hace ningún favor. [REVIEW_BREAK] Arranca bello, cremoso, muscoso, atalcado. Cierra Glade vainilla. No va [REVIEW_BREAK] Para mí, es la versión refinada de Jovan Musk. Coincido con Agustina Verona en que huele ""a casa de abuela ajena"" (me hizo reír su comentario, porque fue mi experiencia también). Me gustan algunos esquemas de aroma vintage, pero con este, paso. [REVIEW_BREAK] Me gusto pero sigo prefieriendo el Pure musc [REVIEW_BREAK] Comienza super ""perfumil"", con el combo rosa-pachuli, levemente atalcado, dominando la composición. Sin embargo, pasa rápidamente a un acorde floral suave sumamente atalcado, acompañado del dulzor de la tonka, y seantiene a flor de piel con este aroma hasta unas 12 horas. Me ha parecido un perfume lindo y refinado, como si fuera un talco de bebé muy fino, femenino y bueno para toda ocasión y estación, menos verano torrido. No obstante, no me ha parecido el mejor ""perfume con olor a piel"" de Narciso, y me ha dejado bastante fria (aunque me gustaría más si no tuviese ese inicio).  Agradable: 6/10 Interesante: 4/10 Versátil: 8/10 Original: 3/10 (en linea con todos los Narciso) [REVIEW_BREAK] No soporto la apertura de este perfume, huele a casa de abuela ajena. Una vez que seca, lo puedo soportar mejor, me recuerda al aroma de una rosa cuando están casi por ponerse en mal estado. Si hay algo que puedo destacar, es su duración, me puse el perfume una hora antes de ducharme, recuerdo haberme exfoliado el brazo, y al salir lo seguía sintiendo muy al ras de la piel. [REVIEW_BREAK] Amo en general las fragancias de NR, y esta no es la excepción. Tiene semejanza con musk noir , pero es más acogedor si se puede serlo. Se podría también comparar con pure musk, pero este es mas fresco y musk nude es más cálido. Me dura bién, y su estela es corta, una segunda piel pero con presencia y belleza . Es levemente empolvado y muy armonioso. Compré segundo frasco de 100 si eso di e algo. Fragancia entre Narciso pudree y musk noir."
https://www.fragrantica.es/perfume/French-Avenue/Pure-Desert-Oud-105961.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.105961.jpg|Pure Desert Oud French Avenue para Hombres y Mujeres|French Avenue|4.23|13|||incienso|madera de oud|ámbar, almizcle|"{""me encanta"": ""6"", ""me gusta"": ""5"", ""me es indiferente"": ""1"", ""no me gusta"": ""1"", ""la odio"": ""0""}"|"{""invierno"": ""8"", ""primavera"": ""1"", ""verano"": ""0"", ""oto\u00f1o"": ""7"", ""d\u00eda"": ""1"", ""noche"": ""7""}"|"{""invierno"": ""8"", ""primavera"": ""1"", ""verano"": ""0"", ""oto\u00f1o"": ""7"", ""d\u00eda"": ""1"", ""noche"": ""7""}"|"{""escasa"": ""0"", ""d\u00e9bil"": ""1"", ""moderada"": ""6"", ""duradera"": ""5"", ""muy duradera"": ""0"", ""suave"": ""2"", ""pesada"": ""2"", ""enorme"": ""0""}"|"{""escasa"": ""0"", ""d\u00e9bil"": ""1"", ""moderada"": ""6"", ""duradera"": ""5"", ""muy duradera"": ""0"", ""suave"": ""2"", ""pesada"": ""2"", ""enorme"": ""0""}"|"{""femenino"": ""1"", ""unisex femenino"": ""0"", ""unisex"": ""3"", ""unisex masculino"": ""2"", ""masculino"": ""2"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""1"", ""precio moderado"": ""0"", ""buen precio"": ""1"", ""excelente precio"": ""6""}"|"{""femenino"": ""1"", ""unisex femenino"": ""0"", ""unisex"": ""3"", ""unisex masculino"": ""2"", ""masculino"": ""2"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""1"", ""precio moderado"": ""0"", ""buen precio"": ""1"", ""excelente precio"": ""6""}"|
https://www.fragrantica.es/perfume/Jean-Paul-Gaultier/Le-Male-Stimulating-Body-Spray-2006-432.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.432.jpg|Le Male Stimulating Body Spray 2006 Jean Paul Gaultier para Hombres|Jean Paul Gaultier|3.79|34|||lavanda, menta, bergamota|canela, tomillo|vainilla|"{""me encanta"": ""6"", ""me gusta"": ""19"", ""me es indiferente"": ""5"", ""no me gusta"": ""4"", ""la odio"": ""0""}"|"{""invierno"": ""2"", ""primavera"": ""6"", ""verano"": ""11"", ""oto\u00f1o"": ""4"", ""d\u00eda"": ""16"", ""noche"": ""15""}"|"{""invierno"": ""2"", ""primavera"": ""6"", ""verano"": ""11"", ""oto\u00f1o"": ""4"", ""d\u00eda"": ""16"", ""noche"": ""15""}"|"{""escasa"": ""0"", ""d\u00e9bil"": ""1"", ""moderada"": ""6"", ""duradera"": ""12"", ""muy duradera"": ""0"", ""suave"": ""0"", ""pesada"": ""10"", ""enorme"": ""3""}"|"{""escasa"": ""0"", ""d\u00e9bil"": ""1"", ""moderada"": ""6"", ""duradera"": ""12"", ""muy duradera"": ""0"", ""suave"": ""0"", ""pesada"": ""10"", ""enorme"": ""3""}"|"{""femenino"": ""1"", ""unisex femenino"": ""0"", ""unisex"": ""1"", ""unisex masculino"": ""4"", ""masculino"": ""7"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""4"", ""precio moderado"": ""7"", ""buen precio"": ""0"", ""excelente precio"": ""0""}"|"{""femenino"": ""1"", ""unisex femenino"": ""0"", ""unisex"": ""1"", ""unisex masculino"": ""4"", ""masculino"": ""7"", ""extremadamente costoso"": ""0"", ""ligeramente costoso"": ""4"", ""precio moderado"": ""7"", ""buen precio"": ""0"", ""excelente precio"": ""0""}"|
https://www.fragrantica.es/perfume/Elizabeth-Arden/Green-Tea-Lavender-8559.html|https://fimgs.net/mdimg/perfume-thumbs/375x500.8559.jpg|Green Tea Lavender Elizabeth Arden para Mujeres|Elizabeth Arden|3.82|1,307|||limón de Amalfi (lima de Amalfi), manzanilla, menta, mandarina|lavanda, té, magnolia|almizcle, abedul, almizcle ambreta|"{""me encanta"": ""269"", ""me gusta"": ""713"", ""me es indiferente"": ""152"", ""no me gusta"": ""163"", ""la odio"": ""10""}"|"{""invierno"": ""87"", ""primavera"": ""465"", ""verano"": ""576"", ""oto\u00f1o"": ""134"", ""d\u00eda"": ""586"", ""noche"": ""122""}"|"{""invierno"": ""87"", ""primavera"": ""465"", ""verano"": ""576"", ""oto\u00f1o"": ""134"", ""d\u00eda"": ""586"", ""noche"": ""122""}"|"{""escasa"": ""98"", ""d\u00e9bil"": ""175"", ""moderada"": ""223"", ""duradera"": ""28"", ""muy duradera"": ""13"", ""suave"": ""250"", ""pesada"": ""37"", ""enorme"": ""28""}"|"{""escasa"": ""98"", ""d\u00e9bil"": ""175"", ""moderada"": ""223"", ""duradera"": ""28"", ""muy duradera"": ""13"", ""suave"": ""250"", ""pesada"": ""37"", ""enorme"": ""28""}"|"{""femenino"": ""96"", ""unisex femenino"": ""97"", ""unisex"": ""154"", ""unisex masculino"": ""9"", ""masculino"": ""7"", ""extremadamente costoso"": ""8"", ""ligeramente costoso"": ""3"", ""precio moderado"": ""33"", ""buen precio"": ""132"", ""excelente precio"": ""167""}"|"{""femenino"": ""96"", ""unisex femenino"": ""97"", ""unisex"": ""154"", ""unisex masculino"": ""9"", ""masculino"": ""7"", ""extremadamente costoso"": ""8"", ""ligeramente costoso"": ""3"", ""precio moderado"": ""33"", ""buen precio"": ""132"", ""excelente precio"": ""167""}"|Otro Arden que me encanta. Cuando la calidad no tiene que estar justificada en precios de mas de 100 euros. Es refrescante, energético, limpio y me aguanta mas de 5 horas. En la base? Como todos los green tea pero con un toque de lavanda fresca. Muy muy bueno, y el precio es estupendo. 10 💜💚 [REVIEW_BREAK] Me encanta, de todos sus hermanos es mi preferido, tengo diez en total de los Green tea. Es súper refrescante pero tranquilizante a la vez, el balance entre cítricos, té verde y lavanda es excelente. Creo que de los pocos perfumes que volvería a comprar por su relación calidad precio, porque se puede usar no solo en verano cuando se agradece algo refrescante sino en toda estación del año cuando hace falta un shot relajante. De hecho que es para deleite personal porque no es para andar por ahí dejando estelas :) [REVIEW_BREAK] Creo que sería bueno probarla antes. Prefiero mimosa o inclusive yuzu. Pero no sunflowers esa me parece de señora [REVIEW_BREAK] Refrescante, relajante, verde... Salida cítrica, super parecido a Green Tea, pero con el toque de la lavanda, que le da ese sensación de spa, me encanta. Delicado, para cualquier edad, no abruma. Ideal para sentirse limpia, como recién salida de la ducha. Encantador. Con una estela y duración razonables para su precio, creo que aporta mucho más de lo que cuesta. Es una fragancia que no te traerá más cumplidos que el bienestar propio, no es para conquistar, es para sentirse relajada y feliz, de buen ánimo. Para el día a día del verano, de días cálidos. Una maravilla por muy poco dinero. [REVIEW_BREAK] Me encanta, se siente perfectamente la mezcla entre cítricos y lavanda , súper fresco y reconfortante. [REVIEW_BREAK] Quizás nos haga deber en la duración, pero es una fragancia próxima a la aromaterapia, agradable y muy tranquilizadora. Especial para días con jaqueca y de mucho calor. La recomiendo. [REVIEW_BREAK] Maravillosamente refrescante! Muy verde y aromática con la elegancia de la lavanda, que e algo sintética pero muy agradable para el precio. Poco duradera pero reaplicar es un disfrute! Perfecta para romper el calor húmedo del verano. [REVIEW_BREAK] Muy buena, lavanda pura y té, refrescante como toda la linea pero con la distinción de que este perfume tiene efectos de aroma terapia. Nada más lindo que usarla antes de dormir ❤ Queda bien en cualquier edad, con buena estela y duración (excelente considerando su precio) cuando mi hermanita de 13 la usa se la siento todo el día y le queda divina [REVIEW_BREAK] Esta fragancia me recuerda al Green Tea original, pero sobre todo y curiosamente a Clinique Happy for men, seguramente por sus notas verdes y de limón, sobre todo en la partida donde son casi idénticas para mí. Incluso comparten almizcle y tienen notas amaderadas.La lavanda es tenue pero le da su toque.  Es una fragancia muy bonita, sin pretensiones, fresca, ideal como primera colonia de una adolescente para ir al cole o para relajarse después de la ducha.  Dicho lo cual, es perfectamente ponible a cualquier edad y durante el día en verano y primavera. Además brinda como dicen una sensación de spa y relax. Su duración es normalita como todas las de este tipo de EA, pero su coste de adquisición es bajísimo, así que lo compensa con creces (hay otras que valen 4 o 6 veces más y duran lo mismo, así que...) Au revoir [REVIEW_BREAK] no me duro ni media hora ni se a que huele mi piel lo devoro apenas vaporizado
